Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,10,0.41000000000000003,0.41000000000000003,0.4094677051897147
75% Corpus,10,0.41000000000000003,0.6100000000000001,0.4021633810536424
75% Corpus,10,0.41000000000000003,0.81,0.48711800299075714
75% Corpus,10,0.41000000000000003,symmetric,0.2990857552866314
75% Corpus,10,0.6100000000000001,0.01,0.2918587320187954
75% Corpus,10,0.6100000000000001,0.21000000000000002,0.298524981198279
75% Corpus,10,0.6100000000000001,0.41000000000000003,0.4213795199674289
75% Corpus,10,0.6100000000000001,0.6100000000000001,0.40128526736349607
75% Corpus,10,0.6100000000000001,0.81,0.518960956677529
75% Corpus,10,0.6100000000000001,symmetric,0.2896031845208884
75% Corpus,10,0.81,0.01,0.29154692245566216
75% Corpus,10,0.81,0.21000000000000002,0.28950865868751186
75% Corpus,10,0.81,0.41000000000000003,0.37529520671528693
75% Corpus,10,0.81,0.6100000000000001,0.39665847156846235
75% Corpus,10,0.81,0.81,0.5230375084675803
75% Corpus,10,0.81,symmetric,0.29431561342002127
75% Corpus,10,symmetric,0.01,0.2921661518334281
75% Corpus,10,symmetric,0.21000000000000002,0.2783868460295689
75% Corpus,10,symmetric,0.41000000000000003,0.38199021988838566
75% Corpus,10,symmetric,0.6100000000000001,0.4125498737408385
75% Corpus,10,symmetric,0.81,0.3797682574659942
75% Corpus,10,symmetric,symmetric,0.27675331436929407
75% Corpus,10,asymmetric,0.01,0.2739742429084267
75% Corpus,10,asymmetric,0.21000000000000002,0.3560486731606866
75% Corpus,10,asymmetric,0.41000000000000003,0.4768511398105321
75% Corpus,10,asymmetric,0.6100000000000001,0.4472732501612765
75% Corpus,10,asymmetric,0.81,0.44405929368638963
75% Corpus,10,asymmetric,symmetric,0.27883049808399335
100% Corpus,2,0.01,0.01,0.3030830427044987
100% Corpus,2,0.01,0.21000000000000002,0.29567457445265766
100% Corpus,2,0.01,0.41000000000000003,0.2885900068419428
100% Corpus,2,0.01,0.6100000000000001,0.29810079046465066
100% Corpus,2,0.01,0.81,0.29345313891291214
