Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,7,symmetric,0.81,0.5339261496999191
75% Corpus,7,symmetric,symmetric,0.2880868679903192
75% Corpus,7,asymmetric,0.01,0.27367802522084433
75% Corpus,7,asymmetric,0.21000000000000002,0.2916005834349725
75% Corpus,7,asymmetric,0.41000000000000003,0.4067229621466112
75% Corpus,7,asymmetric,0.6100000000000001,0.45841514889752377
75% Corpus,7,asymmetric,0.81,0.5204187366406827
75% Corpus,7,asymmetric,symmetric,0.2822790155786602
75% Corpus,8,0.01,0.01,0.2756304318932149
75% Corpus,8,0.01,0.21000000000000002,0.3074262647430083
75% Corpus,8,0.01,0.41000000000000003,0.3924424302641456
75% Corpus,8,0.01,0.6100000000000001,0.40631412239692966
75% Corpus,8,0.01,0.81,0.4593338998436438
75% Corpus,8,0.01,symmetric,0.30690415502080526
75% Corpus,8,0.21000000000000002,0.01,0.27571600989212464
75% Corpus,8,0.21000000000000002,0.21000000000000002,0.3195215676502067
75% Corpus,8,0.21000000000000002,0.41000000000000003,0.40286846194803244
75% Corpus,8,0.21000000000000002,0.6100000000000001,0.5091720355009386
75% Corpus,8,0.21000000000000002,0.81,0.4034140408559106
75% Corpus,8,0.21000000000000002,symmetric,0.31627943139921777
75% Corpus,8,0.41000000000000003,0.01,0.2757252398181523
75% Corpus,8,0.41000000000000003,0.21000000000000002,0.32672899138803124
75% Corpus,8,0.41000000000000003,0.41000000000000003,0.4030477115009089
75% Corpus,8,0.41000000000000003,0.6100000000000001,0.45700211551469666
75% Corpus,8,0.41000000000000003,0.81,0.4454455575922855
75% Corpus,8,0.41000000000000003,symmetric,0.29990173888615046
75% Corpus,8,0.6100000000000001,0.01,0.2767428502185172
75% Corpus,8,0.6100000000000001,0.21000000000000002,0.3155908756573241
75% Corpus,8,0.6100000000000001,0.41000000000000003,0.38587674385600507
75% Corpus,8,0.6100000000000001,0.6100000000000001,0.4585719606443574
75% Corpus,8,0.6100000000000001,0.81,0.4452775757108166
75% Corpus,8,0.6100000000000001,symmetric,0.3041890827290609
75% Corpus,8,0.81,0.01,0.27656940362735466
75% Corpus,8,0.81,0.21000000000000002,0.27877345645899776
75% Corpus,8,0.81,0.41000000000000003,0.37839739489759816
75% Corpus,8,0.81,0.6100000000000001,0.44296177773730583
75% Corpus,8,0.81,0.81,0.4259300819427952
75% Corpus,8,0.81,symmetric,0.27905384532887223
75% Corpus,8,symmetric,0.01,0.2786078531678876
75% Corpus,8,symmetric,0.21000000000000002,0.32094038388019436
75% Corpus,8,symmetric,0.41000000000000003,0.42011743706788784
75% Corpus,8,symmetric,0.6100000000000001,0.4793921645381136
75% Corpus,8,symmetric,0.81,0.4136082424116429
75% Corpus,8,symmetric,symmetric,0.3110426172552969
75% Corpus,8,asymmetric,0.01,0.2723577698155797
75% Corpus,8,asymmetric,0.21000000000000002,0.30393280563884534
75% Corpus,8,asymmetric,0.41000000000000003,0.4771893468173574
75% Corpus,8,asymmetric,0.6100000000000001,0.44033705943327905
75% Corpus,8,asymmetric,0.81,0.5525044821369687
75% Corpus,8,asymmetric,symmetric,0.29365953848111104
75% Corpus,9,0.01,0.01,0.2488836834133985
75% Corpus,9,0.01,0.21000000000000002,0.3492336825068396
75% Corpus,9,0.01,0.41000000000000003,0.4507987715567611
75% Corpus,9,0.01,0.6100000000000001,0.44916720810600047
75% Corpus,9,0.01,0.81,0.4699797061917023
75% Corpus,9,0.01,symmetric,0.3210059988277466
75% Corpus,9,0.21000000000000002,0.01,0.25423232393568423
75% Corpus,9,0.21000000000000002,0.21000000000000002,0.3474906134988373
75% Corpus,9,0.21000000000000002,0.41000000000000003,0.4220912544050171
75% Corpus,9,0.21000000000000002,0.6100000000000001,0.42530443866123746
75% Corpus,9,0.21000000000000002,0.81,0.4614133048406556
75% Corpus,9,0.21000000000000002,symmetric,0.3219855227178135
75% Corpus,9,0.41000000000000003,0.01,0.2617685781915442
75% Corpus,9,0.41000000000000003,0.21000000000000002,0.35055835317936995
75% Corpus,9,0.41000000000000003,0.41000000000000003,0.42822779893814117
75% Corpus,9,0.41000000000000003,0.6100000000000001,0.5376331347455623
75% Corpus,9,0.41000000000000003,0.81,0.4533630567687731
75% Corpus,9,0.41000000000000003,symmetric,0.30177904114669846
75% Corpus,9,0.6100000000000001,0.01,0.26166650188073365
75% Corpus,9,0.6100000000000001,0.21000000000000002,0.34748775507436425
75% Corpus,9,0.6100000000000001,0.41000000000000003,0.42196164490220034
75% Corpus,9,0.6100000000000001,0.6100000000000001,0.43799557497270875
75% Corpus,9,0.6100000000000001,0.81,0.3870020573481734
75% Corpus,9,0.6100000000000001,symmetric,0.305856027287472
75% Corpus,9,0.81,0.01,0.27647394058036034
75% Corpus,9,0.81,0.21000000000000002,0.2975074647139897
75% Corpus,9,0.81,0.41000000000000003,0.39339997748813965
75% Corpus,9,0.81,0.6100000000000001,0.5192229325995471
75% Corpus,9,0.81,0.81,0.47858357334948576
75% Corpus,9,0.81,symmetric,0.2724886950946954
75% Corpus,9,symmetric,0.01,0.25137786418860186
75% Corpus,9,symmetric,0.21000000000000002,0.3466348833293575
75% Corpus,9,symmetric,0.41000000000000003,0.44848253533094046
75% Corpus,9,symmetric,0.6100000000000001,0.43490927001450724
75% Corpus,9,symmetric,0.81,0.4651571313538276
75% Corpus,9,symmetric,symmetric,0.3301870792204402
75% Corpus,9,asymmetric,0.01,0.2636711709145583
75% Corpus,9,asymmetric,0.21000000000000002,0.323588102808867
75% Corpus,9,asymmetric,0.41000000000000003,0.40064024695583117
75% Corpus,9,asymmetric,0.6100000000000001,0.4883388896987893
75% Corpus,9,asymmetric,0.81,0.5490486532228652
75% Corpus,9,asymmetric,symmetric,0.2995453694722301
75% Corpus,10,0.01,0.01,0.2562119002063804
75% Corpus,10,0.01,0.21000000000000002,0.3512986911526789
75% Corpus,10,0.01,0.41000000000000003,0.4288054397750892
75% Corpus,10,0.01,0.6100000000000001,0.4675659591068923
75% Corpus,10,0.01,0.81,0.46985846274927623
75% Corpus,10,0.01,symmetric,0.32432779621239616
75% Corpus,10,0.21000000000000002,0.01,0.26582134843093813
75% Corpus,10,0.21000000000000002,0.21000000000000002,0.38198623221859057
75% Corpus,10,0.21000000000000002,0.41000000000000003,0.44110901603703134
75% Corpus,10,0.21000000000000002,0.6100000000000001,0.522369029197695
75% Corpus,10,0.21000000000000002,0.81,0.4745175233555378
75% Corpus,10,0.21000000000000002,symmetric,0.3198853923799546
75% Corpus,10,0.41000000000000003,0.01,0.2744058231300808
75% Corpus,10,0.41000000000000003,0.21000000000000002,0.35570295077189684
75% Corpus,10,0.41000000000000003,0.41000000000000003,0.45103151018077065
75% Corpus,10,0.41000000000000003,0.6100000000000001,0.45624000843095597
75% Corpus,10,0.41000000000000003,0.81,0.4412992061442755
75% Corpus,10,0.41000000000000003,symmetric,0.31659166459981397
75% Corpus,10,0.6100000000000001,0.01,0.2705314778358154
75% Corpus,10,0.6100000000000001,0.21000000000000002,0.3317950764450847
75% Corpus,10,0.6100000000000001,0.41000000000000003,0.44584648637393337
75% Corpus,10,0.6100000000000001,0.6100000000000001,0.4749004257838396
75% Corpus,10,0.6100000000000001,0.81,0.4946042605084502
75% Corpus,10,0.6100000000000001,symmetric,0.2818720814815817
75% Corpus,10,0.81,0.01,0.28018991082226397
75% Corpus,10,0.81,0.21000000000000002,0.31021534555946106
75% Corpus,10,0.81,0.41000000000000003,0.3855533440259231
75% Corpus,10,0.81,0.6100000000000001,0.4255725111386914
75% Corpus,10,0.81,0.81,0.5569783541292279
75% Corpus,10,0.81,symmetric,0.26518674751286886
75% Corpus,10,symmetric,0.01,0.2639711699601001
75% Corpus,10,symmetric,0.21000000000000002,0.38332330669247283
75% Corpus,10,symmetric,0.41000000000000003,0.4408062444791746
75% Corpus,10,symmetric,0.6100000000000001,0.4541983436998219
75% Corpus,10,symmetric,0.81,0.44590497177237304
75% Corpus,10,symmetric,symmetric,0.3126252583945694
75% Corpus,10,asymmetric,0.01,0.2722920270142894
75% Corpus,10,asymmetric,0.21000000000000002,0.3258940030922466
75% Corpus,10,asymmetric,0.41000000000000003,0.3857290391011577
75% Corpus,10,asymmetric,0.6100000000000001,0.4267632165694867
75% Corpus,10,asymmetric,0.81,0.48804742784985644
75% Corpus,10,asymmetric,symmetric,0.28988919255320605
100% Corpus,2,0.01,0.01,0.30150138737739207
100% Corpus,2,0.01,0.21000000000000002,0.29955702352538005
100% Corpus,2,0.01,0.41000000000000003,0.2929667841910667
100% Corpus,2,0.01,0.6100000000000001,0.29185988881901814
100% Corpus,2,0.01,0.81,0.2904617522642747
100% Corpus,2,0.01,symmetric,0.2905648761654481
100% Corpus,2,0.21000000000000002,0.01,0.2956383508003456
100% Corpus,2,0.21000000000000002,0.21000000000000002,0.2929667841910667
100% Corpus,2,0.21000000000000002,0.41000000000000003,0.2929667841910667
100% Corpus,2,0.21000000000000002,0.6100000000000001,0.2851414776433546
100% Corpus,2,0.21000000000000002,0.81,0.2851414776433546
100% Corpus,2,0.21000000000000002,symmetric,0.29056487616544807
100% Corpus,2,0.41000000000000003,0.01,0.3100784621559955
100% Corpus,2,0.41000000000000003,0.21000000000000002,0.2975548308402243
100% Corpus,2,0.41000000000000003,0.41000000000000003,0.2929667841910667
100% Corpus,2,0.41000000000000003,0.6100000000000001,0.2905648761654481
100% Corpus,2,0.41000000000000003,0.81,0.28307583292654975
100% Corpus,2,0.41000000000000003,symmetric,0.29056487616544807
100% Corpus,2,0.6100000000000001,0.01,0.30698107732892677
100% Corpus,2,0.6100000000000001,0.21000000000000002,0.3032413665504293
100% Corpus,2,0.6100000000000001,0.41000000000000003,0.29755483084022427
100% Corpus,2,0.6100000000000001,0.6100000000000001,0.2934443800743244
100% Corpus,2,0.6100000000000001,0.81,0.2859553368354261
100% Corpus,2,0.6100000000000001,symmetric,0.2934443800743245
100% Corpus,2,0.81,0.01,0.30698107732892677
100% Corpus,2,0.81,0.21000000000000002,0.3108789224675401
100% Corpus,2,0.81,0.41000000000000003,0.3108789224675401
100% Corpus,2,0.81,0.6100000000000001,0.2908154702398119
100% Corpus,2,0.81,0.81,0.29311472817817075
100% Corpus,2,0.81,symmetric,0.2908154702398119
100% Corpus,2,symmetric,0.01,0.3053558418868465
100% Corpus,2,symmetric,0.21000000000000002,0.29755483084022427
100% Corpus,2,symmetric,0.41000000000000003,0.2929667841910667
100% Corpus,2,symmetric,0.6100000000000001,0.2905648761654481
100% Corpus,2,symmetric,0.81,0.2830758329265497
100% Corpus,2,symmetric,symmetric,0.29056487616544807
100% Corpus,2,asymmetric,0.01,0.2951510371744388
100% Corpus,2,asymmetric,0.21000000000000002,0.2875780439759054
100% Corpus,2,asymmetric,0.41000000000000003,0.2963592193361442
100% Corpus,2,asymmetric,0.6100000000000001,0.2973128312793685
100% Corpus,2,asymmetric,0.81,0.2883063612676889
100% Corpus,2,asymmetric,symmetric,0.2972941993720537
100% Corpus,3,0.01,0.01,0.29868148834595526
100% Corpus,3,0.01,0.21000000000000002,0.28907700037274725
100% Corpus,3,0.01,0.41000000000000003,0.29316628261499483
100% Corpus,3,0.01,0.6100000000000001,0.29086486411199414
100% Corpus,3,0.01,0.81,0.2853536663043549
100% Corpus,3,0.01,symmetric,0.28418025485668347
100% Corpus,3,0.21000000000000002,0.01,0.28684438208392354
100% Corpus,3,0.21000000000000002,0.21000000000000002,0.29440717198175675
100% Corpus,3,0.21000000000000002,0.41000000000000003,0.2949588018152833
100% Corpus,3,0.21000000000000002,0.6100000000000001,0.2892796133272994
100% Corpus,3,0.21000000000000002,0.81,0.2755902256869407
100% Corpus,3,0.21000000000000002,symmetric,0.2898787842871425
100% Corpus,3,0.41000000000000003,0.01,0.28510904910517615
100% Corpus,3,0.41000000000000003,0.21000000000000002,0.28942319112952397
100% Corpus,3,0.41000000000000003,0.41000000000000003,0.29249699586060374
100% Corpus,3,0.41000000000000003,0.6100000000000001,0.28687833447507444
